district_id,month,elevation_m,slope_risk,flood_susceptibility,landslide_susceptibility,temp_celsius,humidity_percent,wind_kmh,rainfall_24h_mm,rainfall_48h_mm,rainfall_72h_mm,seasonal_rainfall_avg_mm,landslide_occurred,flood_occurred,road_blocked,disruption_severity
papum_pare,2,388.0,47.9,0.5,0.4,28.2,65.9,1.7,1.6,3.9,6.5,69.0,1,0,0,0.0
kamrup,12,34.0,9.4,0.7,0.1,25.3,71.1,9.5,0.2,0.2,0.3,18.0,0,0,0,0.0
east_khasi,4,1510.0,52.0,0.2,0.7,18.8,83.1,1.9,2.5,4.1,6.0,220.0,0,0,0,16.0
dima_hasao,3,961.0,65.0,0.3,0.8,23.3,79.8,7.9,15.0,18.6,29.0,125.0,0,0,0,9.6
west_tripura,2,-73.0,9.7,0.75,0.05,22.6,91.5,4.4,0.1,0.2,0.2,63.0,0,0,0,5.2
papum_pare,12,275.0,44.4,0.5,0.4,24.1,64.4,19.9,1.5,3.2,2.5,23.0,0,0,0,8.3
imphal_west,2,867.0,51.8,0.35,0.5,26.0,64.5,12.5,2.9,5.5,10.3,45.0,0,0,0,1.1
aizawl,7,1105.0,74.7,0.1,0.8,23.3,79.3,23.8,2.9,2.4,3.7,500.0,1,0,1,57.4
kamrup,1,81.0,9.4,0.7,0.1,31.7,84.1,20.5,0.6,0.7,1.3,36.0,0,0,0,0.8
sonitpur,4,-53.0,18.4,0.6,0.15,31.9,92.7,0.1,1.0,1.2,1.5,170.0,0,1,0,16.6
dima_hasao,9,949.0,55.4,0.3,0.8,30.0,73.8,35.7,53.7,72.4,99.6,375.0,1,1,1,96.7
aizawl,1,1170.0,75.0,0.1,0.8,20.5,78.6,42.4,0.7,1.5,1.5,40.0,0,0,0,0.0
imphal_west,4,762.0,45.0,0.35,0.5,27.1,63.4,18.0,3.4,6.4,9.8,150.0,1,0,0,19.0
west_tripura,11,-4.0,6.2,0.75,0.05,29.7,74.7,27.6,0.5,1.0,0.9,42.0,0,0,0,0.0
west_tripura,9,54.0,9.3,0.75,0.05,27.4,80.1,2.8,4.7,9.0,15.9,315.0,0,1,0,34.8
dimapur,4,159.0,31.1,0.4,0.2,28.3,60.3,1.1,0.7,0.8,1.4,160.0,0,0,0,8.5
kohima,10,1539.0,74.1,0.15,0.85,30.7,84.7,18.9,7.1,8.5,9.6,114.0,1,0,1,55.3
east_khasi,1,1477.0,53.8,0.2,0.7,27.8,78.7,2.2,2.2,4.7,6.4,44.0,1,0,1,32.9
cachar,12,21.0,20.4,0.65,0.2,24.3,60.6,26.4,3.1,7.5,14.2,22.0,0,0,0,8.3
dimapur,6,162.0,23.3,0.4,0.2,33.9,86.4,8.4,6.7,7.3,10.4,352.0,0,1,0,28.7
east_khasi,3,1551.0,57.6,0.2,0.7,29.9,73.7,3.5,11.5,23.8,38.2,110.0,0,0,0,11.8
dima_hasao,6,958.0,65.0,0.3,0.8,33.1,72.8,4.7,28.9,57.5,99.8,550.0,1,1,1,88.0
sonitpur,2,26.0,15.3,0.6,0.15,18.6,91.3,4.5,0.9,1.6,1.1,51.0,0,0,0,14.3
dimapur,2,128.0,34.2,0.4,0.2,26.8,72.3,15.9,2.4,5.0,9.8,48.0,0,1,0,0.0
west_khasi,6,1370.0,68.8,0.25,0.75,20.9,65.9,2.9,55.7,110.4,136.0,616.0,1,1,0,76.9
