slope_risk,rainfall_24h_mm,road_condition,bridge_condition,historical_disruptions,congestion_level,flood_risk_level,landslide_probability,elevation_m,river_proximity,month,road_distance_km,risk_score,risk_level,estimated_hours,delay_hours
48.5,2.4,0,1,1,2,14.7,0.021,594.0,0.5,1,440,17,low,9.3,0.1
41.8,13.5,0,0,1,0,99.1,0.348,688.0,0.6,4,210,23,low,4.7,0.3
5.3,0.4,0,0,0,2,14.1,0.02,35.0,0.85,11,550,8,low,11.5,0.0
28.4,3.1,0,0,3,1,89.1,0.14,202.0,0.7,10,330,12,low,7.0,0.1
26.5,4.2,0,0,0,0,15.2,0.022,790.0,0.55,2,98,0,low,2.1,0.0
58.1,0.3,1,0,2,0,60.4,0.524,250.0,0.6,10,230,24,low,6.6,1.8
40.5,0.1,1,1,1,1,13.0,0.04,578.0,0.45,12,168,22,low,4.8,1.3
19.9,0.3,0,0,5,1,48.3,0.262,115.0,0.75,4,195,13,low,4.1,0.0
47.2,6.4,1,1,0,2,6.8,0.185,550.0,0.5,1,110,26,low,3.2,1.0
32.4,0.3,1,0,1,1,12.1,0.03,762.0,0.55,12,265,10,low,7.6,2.1
48.4,0.9,1,1,1,0,6.1,0.164,550.0,0.5,3,110,12,low,3.2,0.9
63.3,4.3,0,0,1,0,4.3,0.155,1438.0,0.4,2,85,15,low,1.8,0.0
1.6,39.4,0,0,7,2,100.0,0.496,35.0,0.85,6,550,32,medium,14.3,2.8
24.7,0.7,0,0,1,1,14.2,0.02,40.0,0.75,12,310,11,low,6.5,0.0
17.3,0.6,1,1,8,1,100.0,0.254,594.0,0.5,7,440,34,medium,12.6,3.4
51.9,17.5,1,0,9,0,32.4,1.0,1238.0,0.35,10,190,34,medium,5.9,2.0
15.9,1.0,0,0,2,1,14.3,0.021,102.0,0.7,1,270,7,low,5.7,0.0
40.9,0.9,1,0,0,2,6.1,0.164,1197.0,0.3,2,180,18,low,5.2,1.4
14.5,8.8,0,0,7,2,100.0,0.305,35.0,0.85,7,550,26,low,12.0,0.5
60.6,0.3,1,0,0,0,4.0,0.141,1238.0,0.35,3,190,22,low,5.4,1.5
32.1,0.3,0,0,0,0,13.1,0.04,408.0,0.6,11,240,6,low,5.0,0.0
29.9,1.5,0,0,5,1,86.5,0.135,102.0,0.7,10,270,23,low,5.7,0.0
34.1,1.1,0,0,0,1,13.3,0.041,688.0,0.6,3,210,11,low,4.4,0.0
62.1,0.0,1,1,0,1,6.0,0.16,550.0,0.5,11,110,23,low,3.1,0.9
48.0,0.4,1,0,1,0,13.1,0.04,488.0,0.55,11,140,11,low,4.0,1.1
30.7,23.3,1,0,6,2,100.0,0.206,502.0,0.6,4,270,35,medium,8.7,3.1
72.6,12.9,1,1,8,1,75.5,1.0,1041.0,0.3,7,200,47,medium,6.1,1.9
72.9,0.1,1,1,4,1,36.0,1.0,1041.0,0.3,4,200,32,medium,5.7,1.5
27.8,0.6,1,0,1,1,8.1,0.041,470.0,0.55,11,215,16,low,6.2,1.7
17.2,4.6,0,0,0,0,14.2,0.045,20.0,0.8,3,320,7,low,6.8,0.2
0.0,0.3,0,0,1,1,13.1,0.04,20.0,0.8,12,320,2,low,6.7,0.0
40.3,27.9,1,0,4,3,100.0,0.848,470.0,0.55,6,215,44,medium,7.1,2.7
21.8,71.4,1,0,7,0,100.0,1.0,250.0,0.6,8,230,49,medium,10.2,5.4
54.0,1.7,0,1,0,1,14.5,0.021,594.0,0.5,3,440,14,low,9.2,0.1
67.1,6.8,1,1,4,0,20.4,1.0,1117.0,0.35,10,145,31,medium,4.3,1.3
58.1,6.5,0,0,8,3,54.2,0.302,797.0,0.4,10,74,33,medium,1.6,0.1
55.9,15.4,1,1,5,3,100.0,0.09,574.0,0.55,5,380,42,medium,11.8,3.8
8.6,1.1,0,0,0,2,14.3,0.021,68.0,0.85,11,175,8,low,3.7,0.0
