distance_km,road_condition,bridge_condition,avg_slope_risk,avg_elevation_m,rainfall_24h_mm,temp_celsius,congestion_level,flood_risk_level,landslide_probability,commodity_type,weight_kg,priority,month,delay_minutes,safety_score,route_rank
434.5,0,1,37.9,594.0,4.3,30.4,0,14.0,0.02,general,1342.0,1,1,170.8,90,1
114.0,1,1,42.7,550.0,9.2,30.0,0,36.0,1.0,food,3159.0,4,4,257.9,60,2
186.3,1,0,44.1,515.0,0.5,25.3,0,12.0,0.03,medicine,4736.0,5,12,104.5,80,2
325.6,0,0,26.3,202.0,2.6,31.3,1,84.0,0.13,construction,1174.0,1,10,136.7,69,1
313.3,0,0,12.0,40.0,0.3,19.1,0,14.0,0.02,medicine,10421.0,5,1,3.4,97,1
238.6,0,0,38.1,408.0,1.1,26.4,0,78.0,0.26,fuel,8041.0,3,4,29.0,69,1
98.5,0,0,34.6,790.0,2.2,34.5,3,100.0,0.25,food,1783.0,4,9,217.1,64,1
189.1,0,0,12.6,115.0,0.3,23.5,2,48.0,0.26,construction,5673.0,1,4,192.2,76,1
107.6,1,1,47.9,550.0,1.6,20.4,2,6.0,0.16,food,11683.0,4,1,292.6,80,2
138.8,1,1,61.7,1117.0,7.4,20.0,0,30.0,1.0,agri,1422.0,2,6,304.6,60,2
191.3,0,0,24.2,115.0,2.7,30.4,1,72.0,0.195,agri,2234.0,2,4,87.1,75,1
561.7,0,0,9.8,35.0,3.1,27.5,1,14.0,0.02,construction,6699.0,1,2,209.0,96,1
523.9,0,0,2.9,35.0,1.8,18.5,1,100.0,0.25,agri,13660.0,2,6,246.4,74,1
312.0,0,0,9.0,20.0,0.9,30.8,3,13.0,0.04,general,12218.0,1,1,606.1,86,1
395.2,1,1,69.4,961.0,18.5,31.7,2,70.0,1.0,medicine,5111.0,5,9,2082.0,41,2
71.1,0,0,49.0,797.0,0.5,25.3,0,8.0,0.04,fuel,7906.0,3,2,1.5,90,1
178.5,1,0,69.8,1197.0,0.5,20.0,0,6.0,0.16,fuel,8022.0,3,11,113.4,79,2
193.9,1,0,50.4,1238.0,2.4,34.5,0,24.0,0.91,food,1035.0,4,10,245.5,63,2
273.0,0,0,20.9,102.0,1.0,18.9,0,14.0,0.02,general,2601.0,1,1,5.5,92,1
139.9,1,0,47.2,488.0,52.3,22.1,0,78.0,0.26,medicine,11059.0,5,5,392.9,56,2
138.1,1,0,37.1,488.0,2.6,28.8,2,13.0,0.04,construction,5151.0,1,2,254.8,80,2
106.6,1,1,37.2,550.0,0.9,28.0,1,60.0,1.0,general,3028.0,1,8,295.4,54,2
193.6,1,0,58.1,1238.0,2.2,33.9,0,4.0,0.14,agri,13908.0,2,3,126.8,79,2
254.2,0,0,37.6,775.0,2.6,29.2,1,24.0,0.91,general,4007.0,1,4,243.4,72,1
105.5,1,1,37.8,550.0,2.3,33.3,0,6.0,0.16,general,11026.0,1,12,121.3,87,2
280.7,0,0,15.1,102.0,9.4,31.3,0,84.0,0.13,general,13529.0,1,10,52.2,76,1
267.8,1,0,43.4,762.0,0.1,19.7,1,100.0,0.375,general,9953.0,1,9,339.5,54,2
204.2,0,0,44.8,688.0,5.5,22.0,1,13.0,0.04,construction,12814.0,1,3,86.4,83,1
75.2,0,0,40.7,797.0,7.5,19.6,0,48.0,0.26,general,14609.0,1,5,16.2,74,1
138.5,1,0,41.6,488.0,3.9,28.7,1,13.0,0.04,agri,7642.0,2,11,152.5,85,2
261.8,1,0,38.7,502.0,9.2,22.8,0,84.0,0.13,medicine,14137.0,5,4,208.7,66,2
209.1,1,1,72.4,1041.0,61.6,24.3,3,60.0,1.0,agri,12869.0,2,7,2247.6,28,3
264.5,0,0,13.9,102.0,3.5,32.5,1,84.0,0.13,fuel,14074.0,3,4,115.0,73,1
203.9,1,1,70.3,1041.0,8.4,19.7,2,36.0,1.0,general,11241.0,1,4,928.8,46,2
285.5,0,0,32.0,215.0,27.9,24.1,2,100.0,1.0,general,13073.0,1,7,821.4,41,1
406.1,1,1,65.4,961.0,2.1,26.5,2,7.0,0.1,agri,12039.0,2,3,1084.1,79,2
197.4,1,0,40.8,515.0,2.8,24.4,0,72.0,0.195,general,7251.0,1,4,138.5,67,2
321.4,0,0,10.6,20.0,0.3,28.0,0,13.0,0.04,fuel,8073.0,3,12,6.1,98,1
